Time, Tie_Power, L1, L2, L3, L4, Pess, P1, P2, P3, P4
3203.75, 1627.6400146484375, 1106.523193359375, 1106.1246337890625, 1107.0089111328125, 1105.151611328125, 1953.6746826171875, 1465.4188232421875, 1172.5806884765625, 976.649169921875, 587.2689819335938
3204.0, 1624.066650390625, 1106.5281982421875, 1106.1304931640625, 1107.0155029296875, 1105.1451416015625, 1952.264404296875, 1464.983642578125, 1172.85595703125, 975.6351928710938, 586.91845703125
3204.25, 1625.512939453125, 1106.5828857421875, 1106.1412353515625, 1107.0447998046875, 1105.1553955078125, 1954.86474609375, 1466.480224609375, 1174.566162109375, 978.300537109375, 587.3728637695312
3204.5, 1616.7691650390625, 1106.581787109375, 1106.191650390625, 1107.093505859375, 1105.196044921875, 1952.4371337890625, 1465.0159912109375, 1173.2354736328125, 978.0416259765625, 587.846435546875
3204.75, 1618.2017822265625, 1106.5582275390625, 1106.2032470703125, 1107.0823974609375, 1105.183837890625, 1953.153076171875, 1465.1455078125, 1173.87451171875, 978.9242553710938, 587.5442504882812
3205.0, 1616.7635498046875, 1106.5528564453125, 1106.133544921875, 1107.0458984375, 1105.176025390625, 1952.0614013671875, 1464.791259765625, 1172.991943359375, 976.8297729492188, 587.0919189453125
3205.25, 1623.4969482421875, 1106.5240478515625, 1106.1357421875, 1106.998046875, 1105.161865234375, 1953.8760986328125, 1464.403076171875, 1172.517578125, 977.3274536132812, 586.722900390625
3205.5, 1626.8905029296875, 1106.5235595703125, 1106.1148681640625, 1107.03271484375, 1105.1378173828125, 1956.279541015625, 1466.05322265625, 1173.6195068359375, 976.3256225585938, 586.6915893554688
3205.75, 1624.2149658203125, 1106.585205078125, 1106.142578125, 1107.0350341796875, 1105.16796875, 1954.7305908203125, 1466.621826171875, 1175.0582275390625, 978.8858642578125, 586.71875
3206.0, 1619.7386474609375, 1106.58349609375, 1106.1905517578125, 1107.01171875, 1105.1802978515625, 1953.8070068359375, 1466.5556640625, 1174.5667724609375, 979.4832763671875, 588.9837036132812
3206.25, 1623.156982421875, 1106.5533447265625, 1106.14404296875, 1107.028076171875, 1105.153076171875, 1956.834716796875, 1466.6014404296875, 1174.7930908203125, 978.6279296875, 588.7429809570312
3206.5, 1619.0626220703125, 1106.56201171875, 1106.152099609375, 1107.0439453125, 1105.1578369140625, 1953.9443359375, 1466.5771484375, 1174.2440185546875, 978.6386108398438, 587.97607421875
3206.75, 1619.627197265625, 1106.5494384765625, 1106.1259765625, 1107.0198974609375, 1105.1778564453125, 1951.870849609375, 1464.55078125, 1172.9276123046875, 977.1387939453125, 586.5637817382812
3207.0, 1616.5809326171875, 1106.56005859375, 1106.1572265625, 1107.057861328125, 1105.183349609375, 1952.18701171875, 1465.32666015625, 1171.822265625, 977.264892578125, 586.8220825195312
3207.25, 1589.157958984375, 1106.562255859375, 1106.1822509765625, 1107.0283203125, 1105.161865234375, 1928.045166015625, 1462.9549560546875, 1165.0240478515625, 978.3576049804688, 586.3301391601562
